2021-08-22 13:16:23        METADATA: Unknown types found, no types for AdId, AdvertisementOf, AdvertiserId, AdvertiserOf, DepositNonce, DidMethodSpecId, GlobalId, ProposalVotes, Public, TagCoefficient, TagScore, TagType
You are connected to chain Development using Parami Node v3.1.0-8b5068b-x86_64-macos
bestBlockNum 5032, targetBlockNum 5020
bestBlockNum 5033, targetBlockNum 5021
bestBlockNum 5034, targetBlockNum 5022
bestBlockNum 5035, targetBlockNum 5023
bestBlockNum 5036, targetBlockNum 5024
bestBlockNum 5037, targetBlockNum 5025
bestBlockNum 5038, targetBlockNum 5026
bestBlockNum 5039, targetBlockNum 5027
bestBlockNum 5040, targetBlockNum 5028
bestBlockNum 5041, targetBlockNum 5029
bestBlockNum 5042, targetBlockNum 5030
bestBlockNum 5043, targetBlockNum 5031
bestBlockNum 5044, targetBlockNum 5032
bestBlockNum 5045, targetBlockNum 5033
bestBlockNum 5046, targetBlockNum 5034
bestBlockNum 5047, targetBlockNum 5035
bestBlockNum 5048, targetBlockNum 5036
bestBlockNum 5049, targetBlockNum 5037
bestBlockNum 5050, targetBlockNum 5038
bestBlockNum 5051, targetBlockNum 5039
bestBlockNum 5052, targetBlockNum 5040
bestBlockNum 5053, targetBlockNum 5041
bestBlockNum 5054, targetBlockNum 5042
bestBlockNum 5055, targetBlockNum 5043
bestBlockNum 5056, targetBlockNum 5044
bestBlockNum 5057, targetBlockNum 5045
bestBlockNum 5058, targetBlockNum 5046
bestBlockNum 5059, targetBlockNum 5047
bestBlockNum 5060, targetBlockNum 5048
bestBlockNum 5061, targetBlockNum 5049
bestBlockNum 5062, targetBlockNum 5050
bestBlockNum 5063, targetBlockNum 5051
bestBlockNum 5064, targetBlockNum 5052
bestBlockNum 5065, targetBlockNum 5053
bestBlockNum 5066, targetBlockNum 5054
bestBlockNum 5067, targetBlockNum 5055
bestBlockNum 5068, targetBlockNum 5056
bestBlockNum 5069, targetBlockNum 5057
bestBlockNum 5070, targetBlockNum 5058
bestBlockNum 5071, targetBlockNum 5059
bestBlockNum 5072, targetBlockNum 5060
bestBlockNum 5073, targetBlockNum 5061
bestBlockNum 5074, targetBlockNum 5062
bestBlockNum 5075, targetBlockNum 5063
bestBlockNum 5076, targetBlockNum 5064
bestBlockNum 5077, targetBlockNum 5065
bestBlockNum 5078, targetBlockNum 5066
bestBlockNum 5079, targetBlockNum 5067
bestBlockNum 5080, targetBlockNum 5068
bestBlockNum 5081, targetBlockNum 5069
bestBlockNum 5082, targetBlockNum 5070
bestBlockNum 5083, targetBlockNum 5071
bestBlockNum 5084, targetBlockNum 5072
bestBlockNum 5085, targetBlockNum 5073
bestBlockNum 5086, targetBlockNum 5074
bestBlockNum 5087, targetBlockNum 5075
bestBlockNum 5088, targetBlockNum 5076
bestBlockNum 5089, targetBlockNum 5077
bestBlockNum 5090, targetBlockNum 5078
bestBlockNum 5091, targetBlockNum 5079
bestBlockNum 5092, targetBlockNum 5080
bestBlockNum 5093, targetBlockNum 5081
bestBlockNum 5094, targetBlockNum 5082
bestBlockNum 5095, targetBlockNum 5083
bestBlockNum 5096, targetBlockNum 5084
bestBlockNum 5097, targetBlockNum 5085
bestBlockNum 5098, targetBlockNum 5086
bestBlockNum 5099, targetBlockNum 5087
bestBlockNum 5100, targetBlockNum 5088
bestBlockNum 5101, targetBlockNum 5089
bestBlockNum 5102, targetBlockNum 5090
bestBlockNum 5103, targetBlockNum 5091
bestBlockNum 5104, targetBlockNum 5092
bestBlockNum 5105, targetBlockNum 5093
bestBlockNum 5106, targetBlockNum 5094
bestBlockNum 5107, targetBlockNum 5095
bestBlockNum 5108, targetBlockNum 5096
bestBlockNum 5109, targetBlockNum 5097
bestBlockNum 5110, targetBlockNum 5098
bestBlockNum 5111, targetBlockNum 5099
bestBlockNum 5112, targetBlockNum 5100
bestBlockNum 5113, targetBlockNum 5101
bestBlockNum 5114, targetBlockNum 5102
bestBlockNum 5115, targetBlockNum 5103
bestBlockNum 5116, targetBlockNum 5104
bestBlockNum 5117, targetBlockNum 5105
bestBlockNum 5118, targetBlockNum 5106
bestBlockNum 5119, targetBlockNum 5107
bestBlockNum 5120, targetBlockNum 5108
bestBlockNum 5121, targetBlockNum 5109
bestBlockNum 5122, targetBlockNum 5110
bestBlockNum 5123, targetBlockNum 5111
bestBlockNum 5124, targetBlockNum 5112
bestBlockNum 5125, targetBlockNum 5113
bestBlockNum 5126, targetBlockNum 5114
bestBlockNum 5127, targetBlockNum 5115
bestBlockNum 5128, targetBlockNum 5116
bestBlockNum 5129, targetBlockNum 5117
bestBlockNum 5130, targetBlockNum 5118
bestBlockNum 5131, targetBlockNum 5119
bestBlockNum 5132, targetBlockNum 5120
bestBlockNum 5133, targetBlockNum 5121
bestBlockNum 5134, targetBlockNum 5122
bestBlockNum 5135, targetBlockNum 5123
bestBlockNum 5136, targetBlockNum 5124
bestBlockNum 5137, targetBlockNum 5125
bestBlockNum 5138, targetBlockNum 5126
bestBlockNum 5139, targetBlockNum 5127
bestBlockNum 5140, targetBlockNum 5128
